source,source_type,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop,source_type_n,select,twitter_handle_manual,twitter_id,twitter_screen_name,twitter_followers_count,twitter_friends_count,url
Townhall,news,right,somewhat disagree,23463,9514,13949,0.405489494097089,4,1.0,townhallcom,28614262,townhallcom,167819,1062,https://townhall.com/
Daily Mail,news,right,agree,15272,9790,5482,0.641042430591933,5,1.0,DailyMail,380285402,DailyMail,323720,1819,https://www.dailymail.co.uk/
CBN,news,right,agree,10399,6890,3509,0.6625637080488509,9,1.0,CBNNews,26028938,CBNNews,145182,7373,http://cbnnews.com/__CONNECTIONPOOL_ERROR__
One America News Network (OAN),news,right,agree,3414,2092,1322,0.6127709431751611,13,1.0,OANN,1209936918,OANN,1493478,66,https://www.oann.com/
Media Research Center,news,right,somewhat disagree,3083,1404,1679,0.4554005838469023,14,1.0,theMRC,20076659,theMRC,196705,399,https://www.facebook.com/mediaresearchcenter
American Thinker,news,right,agree,2824,1840,984,0.6515580736543909,15,1.0,AmericanThinker,34109146,AmericanThinker,41508,109,https://www.americanthinker.com/
The Weekly Standard,news,right,agree,2165,1346,819,0.6217090069284065,16,1.0,weeklystandard,17546958,weeklystandard,301548,11785,http://weeklystandard.com/__CLIENT_ERROR__
KSL,news,right,somewhat agree,1800,963,837,0.535,18,1.0,KSLcom,24143255,KSLcom,186636,424,https://www.ksl.com/
CNSNews.com,news,right,somewhat agree,1724,957,767,0.5551044083526682,19,1.0,cnsnews,34927577,cnsnews,112833,1084,http://www.facebook.com/__CONNECTIONPOOL_ERROR__
The Gateway Pundit,news,right,agree,1394,905,489,0.6492109038737446,20,1.0,gatewaypundit,19211550,gatewaypundit,373587,1460,https://www.thegatewaypundit.com/
